"","id","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","work_with_offices_clients_abroad","role_in_organisation...Selected.Choice","role_in_organisation...Other..please.specify....Text","gender","year_of_birth","region","country","ethnicity","ethnicity_other","languages_spoken","countries_abroad_count","countries_abroad_oc","organisational_affiliation_years","workplace_diversity","pql_stimulating_challenges_imp","pql_flexible_imp","pql_weaknesses_imp","pql_manage_emotions_imp","pql_ease_differing_views_imp","pql_stimulating_challenges_exp","pql_flexible_exp","pql_weaknesses_exp","pql_manage_emotions_exp","pql_ease_differing_views_exp","cui_understand_culture_communication_imp","cui_noticing_ways_imp","cui_mixing_socially_imp","cui_learn_foreign_phrases_imp","cui_understan_values_beliefs_imp","cui_understand_culture_communication_exp","cui_noticing_ways_exp","cui_mixing_socially_exp","cui_learn_foreign_phrases_exp","cui_understan_values_beliefs_exp","trl_trust_imp","trl_respect_viewpoints_imp","trl_feeling_part_of_team_imp","trl_support_each_other_imp","trl_know_personally_imp","trl_trust_exp","trl_respect_viewpoints_exp","trl_feeling_part_of_team_exp","trl_support_each_other_exp","trl_know_personally_exp","com_understand_each_other_imp","com_adjusting_language_imp","com_everyone_contributes_imp","com_say_what_you_want_imp","com_listen_to_others_imp","com_clarify_issues_imp","com_account_for_different_language_levels_imp","com_understand_each_other_exp","com_adjusting_language_exp","com_everyone_contributes_exp","com_say_what_you_want_exp","com_listen_to_others_exp","com_clarify_issues_exp","com_account_for_different_language_levels_exp","lmg_handle_opinions_imp","lmg_negative_feedback_imp","lmg_personal_circumstances_imp","lmg_varying_management_style_imp","lmg_motivating_staff_imp","lmg_handle_opinions_eoh","lmg_negative_feedback_eoh","lmg_personal_circumstances_eoh","lmg_varying_management_style_eoh","lmg_motivating_staff_eoh","tmg_clear_goals_imp","tmg_divide_responsibilities_fairly_imp","tmg_peoples_strengths_imp","tmg_ethical_standards_imp","tmg_making_decisions_imp","tmg_keeping_time_imp","tmg_elicit_ideas_imp","tmg_clear_goals_eoh","tmg_divide_responsibilities_fairly_eoh","tmg_peoples_strengths_eoh","tmg_ethical_standards_eoh","tmg_making_decisions_eoh","tmg_keeping_time_eoh","tmg_elicit_ideas_eoh","lao_manage_change_imp","lao_persuade_leaders_new_ways_imp","lao_local_contextual_factors_imp","lao_recruiting_people_imp","lao_combine_different_viewpoints_imp","lao_manage_change_eoh","lao_persuade_leaders_new_ways_eoh","lao_local_contextual_factors_eoh","lao_recruiting_people_eoh","lao_combine_different_viewpoints_eoh","oc","opp","Q_TotalDuration","Q_CHL","isNew","V","rid","RISN","test2","gc","term","manager","missing"
"536",536,"18/01/2019 16:35","18/01/2019 16:43",0,"213.31.133.249",100,488,1,"18/01/2019 16:43","R_3075oR9Ay07YZtN",NA,NA,NA,NA,57.65339661,-3.326599121,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1976","Europe","UK","White",NA,"2",1,"FRANCE","3 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,5,5,5,5,3,5,4,3,3,4,5,4,4,5,2,3,3,3,4,6,5,6,5,4,4,3,4,3,2,5,5,5,5,5,5,5,3,2,3,2,4,4,2,5,6,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,5,4,4,3,5,5,4,5,5,3,3,5,4,3,"I HAVE HAD MANY NEGATIVE EXPERIENCES WHICH SEEM TO BE ROOTED IN THE NEED FOR TIME CONSTRAINTS AND LLITED ADVANCEMENT OPPORTUNITIES LEADING TO COLLEAGUES BEING VERY AWARE OF THE NEED TO LOOK ATER THEIR OWN POSITION RATHER THAN ASSIST OTHERS.","Qual2514-0709Const2",488,"anonymous",NA,"H","5c42001d-37ba-48f8-b45f-e196fef5cb54",NA,NA,1,NA,"no",0
"537",537,"18/01/2019 16:27","18/01/2019 16:43",0,"51.9.131.243",100,941,1,"18/01/2019 16:43","R_3dMrjU5r19Uc6M5",NA,NA,NA,NA,53.46629333,-2.13420105,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female",NA,"Europe","UK","White",NA,"2",4,"UK
India
France
Spain","15 years","diversity_education,diversity_experience",5,4,6,6,4,5,4,6,4,4,5,5,6,6,6,3,3,4,6,5,6,6,6,6,6,5,3,3,3,6,6,6,6,6,6,6,6,2,6,3,3,3,3,1,6,6,6,6,6,3,1,4,2,2,6,6,6,6,6,5,6,2,6,2,5,5,3,NA,4,6,1,1,5,5,1,NA,NA,2,NA,"Qual2514-0709Const2",941,"anonymous",NA,"H","5c41fe85-f435-41f3-a156-a97e7c281a36",NA,NA,1,NA,"no",0
"538",538,"18/01/2019 16:35","18/01/2019 16:44",0,"94.193.247.167",100,534,1,"18/01/2019 16:44","R_3izewnACf79CCcE",NA,NA,NA,NA,52.09739685,-1.914093018,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Female","1960","Europe","UK","White",NA,"2",1,"England","more than 20 years","diversity_culture,diversity_language",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Share different cultural experiences ","Qual2514-0709Const2",534,"anonymous",NA,"H","5c42005e-f5cd-4f53-9ed3-c2c38db7a229",NA,NA,1,NA,"no",0
"539",539,"18/01/2019 16:41","18/01/2019 16:46",0,"87.79.10.211",100,299,1,"18/01/2019 16:46","R_2f2NYXU3iEwRDJD",NA,NA,NA,NA,51.60169983,7.218307495,"anonymous","EN","consent_academic,consent_teaching",6,"Apprenticeship/Trainee/Junior employee",NA,"Male","1987","Europe","Germany","White",NA,"2",0,NA,"3 years","diversity_culture,diversity_language,diversity_education",5,5,4,4,5,5,6,5,6,6,5,6,5,6,4,6,6,4,5,6,4,5,6,6,5,6,6,6,5,5,5,5,5,6,6,6,4,5,5,4,6,5,NA,5,5,4,6,4,4,4,5,5,6,5,6,4,5,3,5,5,6,5,5,NA,6,5,5,6,4,6,5,4,4,5,6,5,6,NA,NA,"Qual2514-0709Const2",299,"anonymous",NA,"H","5c4201cf-9434-4d54-9220-202569132a1e",NA,NA,1,NA,"no",2
"540",540,"18/01/2019 16:51","18/01/2019 16:55",0,"2.28.198.18",100,245,1,"18/01/2019 16:55","R_3jV5w3N4RCwjxaW",NA,NA,NA,NA,51.86529541,0.219604492,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Male","1970","Europe","UK","White",NA,"1",1,NA,"less than 1 year","diversity_culture",6,4,5,5,5,4,4,4,3,4,6,5,1,1,4,4,4,2,1,3,6,5,5,6,2,4,4,3,4,1,6,3,5,5,5,6,3,4,2,3,3,5,4,3,4,6,5,6,1,4,5,3,4,1,6,1,5,6,5,6,1,6,1,4,3,5,5,1,5,4,4,4,3,3,4,4,4,3,NA,"Qual2514-0709Const2",245,"anonymous",NA,"H","5c42040c-e8e7-43fa-9445-f962d8c0303b",NA,NA,1,NA,"no",0
"541",541,"18/01/2019 16:23","18/01/2019 16:59",0,"79.230.218.246",100,2158,1,"18/01/2019 16:59","R_3J9MpvXm8vBNggq",NA,NA,NA,NA,51.09039307,6.606704712,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1963","Europe","Germany","White",NA,"2",0,NA,"more than 20 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,"Qual2514-0709Const2",2158,"anonymous",NA,"H","5c41fd86-dff0-4c72-825c-7f943160d1b6",NA,NA,1,NA,"no",0
"543",543,"18/01/2019 16:55","18/01/2019 17:03",0,"94.7.203.121",100,464,1,"18/01/2019 17:03","R_3Gput8Rz9zKf23k",NA,NA,NA,NA,51.38870239,1.404998779,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Male","1969","Europe","UK","White",NA,"1",1,"Belgium ","18 years","diversity_culture,diversity_education,diversity_experience",4,6,5,5,5,3,5,3,4,5,5,4,5,4,5,4,5,3,4,4,6,4,6,6,4,4,5,5,4,4,5,4,4,4,4,5,3,4,4,3,4,4,4,2,5,4,4,3,4,4,4,5,4,4,4,6,5,4,5,2,3,3,3,2,3,4,4,3,5,3,4,5,4,4,5,5,4,3,"None ","Qual2514-0709Const2",464,"anonymous",NA,"H","5c420512-b507-4031-947c-2ce901e77784",NA,NA,1,NA,"no",0
"544",544,"18/01/2019 17:19","18/01/2019 17:22",0,"84.168.42.20",100,213,1,"18/01/2019 17:22","R_12kXqX395LuhWKg",NA,NA,NA,NA,52.3032074,13.2539978,"anonymous","EN","consent_academic,consent_teaching",5,"Skilled work/Office work",NA,"Male","1988","Europe","Germany","White",NA,"2",1,NA,"10 years","diversity_part_of_organisation",2,3,3,3,3,5,3,NA,3,4,4,3,3,2,3,4,3,3,4,3,3,3,4,3,3,4,2,4,3,3,3,4,4,3,3,4,4,5,4,4,3,4,3,4,3,3,4,3,3,3,2,4,4,5,4,3,4,3,4,3,4,4,4,4,3,4,3,4,3,3,4,3,3,4,2,4,3,4,NA,"Qual2514-0709Const2",213,"anonymous",NA,"H","5c420a7a-4544-4ac1-a114-cf1e5e09549e",NA,NA,1,NA,"no",1
"546",546,"18/01/2019 17:32","18/01/2019 17:36",0,"148.252.129.93",100,268,1,"18/01/2019 17:36","R_3ilfxEqLBG5eDgl",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN","consent_academic,consent_teaching",4,"Apprenticeship/Trainee/Junior employee",NA,"Female","1999","Europe","UK","Mixed race",NA,"2",1,NA,"2 years","diversity_culture,diversity_language",3,4,2,5,4,4,6,4,5,5,6,3,6,4,5,6,5,6,5,5,5,4,5,4,3,5,4,6,3,5,4,5,4,3,5,4,4,4,6,6,6,6,4,4,4,6,5,5,5,5,6,6,5,6,3,3,4,4,4,3,4,6,3,4,5,5,6,5,4,4,3,4,5,5,4,5,4,5," I enjoy it, I love having different friends for different things and being bilingual has helped me understand different cultures","Qual2514-0709Const2",268,"anonymous",NA,"H","5c420d89-f44a-4710-b760-4b985cee162b",NA,NA,1,NA,"no",0
"547",547,"18/01/2019 17:40","18/01/2019 17:45",0,"87.158.135.232",100,347,1,"18/01/2019 17:45","R_2ffAOuVlUP8UVWF",NA,NA,NA,NA,48.1499939,11.3500061,"anonymous","EN","consent_academic,consent_teaching",5,"Skilled work/Office work",NA,"Female","1988","Europe","Germany","White",NA,"3",4,"Germany, Netherlands, Chile, Ireland","3 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,6,3,6,6,3,4,2,3,5,5,3,6,2,6,3,3,3,2,2,6,6,6,6,3,4,3,4,2,3,5,4,3,5,5,5,3,4,4,3,5,5,4,3,4,5,3,5,5,3,2,3,3,3,3,3,5,5,4,4,4,3,2,2,3,1,1,3,4,4,4,5,3,1,2,2,2,2,NA,"Qual2514-0709Const2",347,"anonymous",NA,"H","5c420f57-4022-4c48-8ff7-c76b149ca31a",NA,NA,1,NA,"no",0
"549",549,"18/01/2019 17:43","18/01/2019 17:49",0,"109.42.1.18",100,329,1,"18/01/2019 17:49","R_2cBfULikfk5fmoA",NA,NA,NA,NA,48.7322998,9.325500488,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Female","1977","Europe","Germany","White",NA,"2",1,NA,"11 years","diversity_culture,diversity_language,diversity_part_of_organisation",4,5,4,6,5,4,5,4,5,5,5,3,5,5,5,3,4,5,5,3,4,6,6,6,3,3,6,6,6,3,5,4,5,4,5,5,3,5,4,5,2,5,4,3,4,6,4,5,1,3,6,4,5,1,4,5,6,6,5,6,4,4,3,5,6,5,4,3,6,4,5,4,5,3,4,5,4,5,NA,"Qual2514-0709Const2",329,"anonymous",NA,"H","5c421055-45c9-43f2-afcc-2ce22cf7403e",NA,NA,1,NA,"no",0
"550",550,"18/01/2019 17:41","18/01/2019 17:50",0,"93.245.123.113",100,516,1,"18/01/2019 17:50","R_3huA5vYYGs6yDKX",NA,NA,NA,NA,51.18609619,7.498199463,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Male","1998","Europe","Germany","White",NA,"2",1,"Germany","2 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,5,5,4,4,5,6,4,5,4,4,6,3,6,3,4,6,4,6,3,6,5,6,6,5,6,5,6,6,5,6,4,4,5,5,5,5,3,4,4,4,4,5,5,5,3,3,4,6,5,4,4,4,5,6,5,5,3,5,6,6,5,5,6,4,5,2,4,5,5,5,2,6,3,3,4,4,5,NA,"Qual2514-0709Const2",516,"anonymous",NA,"H","5c420fd6-f062-4200-817a-f43743d7c8ab",NA,NA,1,NA,"no",0
"551",551,"18/01/2019 17:48","18/01/2019 17:52",0,"46.5.2.95",100,243,1,"18/01/2019 17:53","R_25ykAmBA5Iec2eY",NA,NA,NA,NA,49.00830078,8.397903442,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Male","before 1960","Europe","Germany","White",NA,"1",0,NA,"more than 20 years","diversity_part_of_organisation",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,4,4,3,4,NA,4,4,4,3,3,4,3,4,3,NA,4,3,4,4,3,4,NA,3,3,4,3,3,4,4,NA,"Qual2514-0709Const2",243,"anonymous",NA,"H","5c421175-1ec3-4afe-8718-693d2b8e0367",NA,NA,1,NA,"no",2
"552",552,"18/01/2019 17:56","18/01/2019 18:04",0,"77.22.253.228",100,450,1,"18/01/2019 18:04","R_sI6AEI5ibPrPGhz",NA,NA,NA,NA,51.05000305,13.75,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Female","1990","Europe","Germany","White",NA,"2",1,NA,"less than 1 year","diversity_education,diversity_part_of_organisation,diversity_experience",2,5,3,6,4,4,5,4,5,4,5,6,5,6,5,4,5,4,4,4,5,6,5,6,4,5,6,5,6,4,6,5,5,6,6,5,4,5,4,5,4,6,5,3,6,6,6,6,6,5,4,6,5,3,5,5,6,6,6,6,5,4,4,4,5,4,5,NA,4,4,6,6,5,NA,3,5,5,5,"no","Qual2514-0709Const2",450,"anonymous",NA,"H","5c42134f-5d08-4d8c-b8b1-23c9d83b7e75",NA,NA,1,NA,"no",0
"554",554,"18/01/2019 18:06","18/01/2019 18:11",0,"82.132.240.191",100,271,1,"18/01/2019 18:11","R_1Ldjf0XG07Z7wH4",NA,NA,NA,NA,51.49639893,-0.122406006,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Male","1977","Europe","UK","White",NA,"2",2,"Ireland Spain","3 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,5,5,4,6,5,4,4,3,6,6,4,5,6,6,6,5,4,6,5,5,6,5,6,3,5,6,5,6,4,6,6,3,4,4,6,5,5,4,3,4,5,5,5,6,3,4,4,3,4,2,4,4,2,6,4,6,6,6,6,5,6,5,6,6,5,6,6,4,4,6,6,4,2,5,3,4,3,NA,"Qual2514-0709Const2",271,"anonymous",NA,"H","5c4215bb-319c-4787-9e38-d54f0f272c52",NA,NA,1,NA,"no",0
"555",555,"18/01/2019 17:32","18/01/2019 18:14",0,"93.244.11.206",100,2518,1,"18/01/2019 18:14","R_2ASRi85IBIBj4Jn",NA,NA,NA,NA,51.31970215,7.339202881,"anonymous","EN","consent_academic,consent_teaching",2,"Skilled work/Office work",NA,"Male","1976","Europe","Germany","White",NA,"3",2,"Netherlands","more than 20 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,6,6,6,6,6,6,5,5,6,6,6,6,4,6,5,6,6,2,6,6,6,6,6,5,6,6,3,6,6,6,5,6,6,6,6,6,4,4,4,6,4,4,6,6,6,6,6,6,6,4,5,3,6,4,6,6,6,6,6,6,6,6,4,6,6,3,6,5,4,6,1,6,1,4,4,4,6,"I noticed at my work with colleagues, that different age and different live sections are more important to the work attitude, as I thought years ago. Also protecting younger colleagues from their mistakes, maybe fixes current problems, but trigger deeper conflicts. In particular, it disturbs the relationship of trust, which has a negative impact on the team.","Qual2514-0709Const2",2518,"anonymous",NA,"H","5c420daa-1fcb-48d2-9ac8-e596513d8e0c",NA,NA,1,NA,"no",0
"556",556,"18/01/2019 18:23","18/01/2019 18:28",0,"79.248.14.217",100,296,1,"18/01/2019 18:28","R_2v6W1R7j7QRDYTF",NA,NA,NA,NA,50.74620056,7.129394531,"anonymous","EN","consent_academic,consent_teaching",5,"Skilled work/Office work",NA,"Male","1992","Europe","Germany","White",NA,"2",0,NA,"6 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,"Qual2514-0709Const2",296,"anonymous",NA,"H","5c4219ac-39fc-4055-80e1-6a3d6c316ca5",NA,NA,1,NA,"no",0
"557",557,"18/01/2019 18:20","18/01/2019 18:28",0,"37.5.242.104",100,516,1,"18/01/2019 18:28","R_TvK3HLeJeX19N0R",NA,NA,NA,NA,53.57400513,9.974700928,"anonymous","EN","consent_academic,consent_teaching",6,"Skilled work/Office work",NA,"Female","1972","Europe","Germany","White",NA,"2",2,"United States","20 years","diversity_culture,diversity_education,diversity_part_of_organisation,diversity_experience",6,5,5,4,5,6,5,5,4,5,5,4,4,5,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,4,5,5,3,4,5,5,4,3,4,4,3,3,4,4,5,5,5,5,5,4,3,4,4,4,4,5,4,4,6,4,5,4,4,4,4,3,4,4,5,5,3,5,5,2,3,4,3,3,NA,"Qual2514-0709Const2",516,"anonymous",NA,"H","5c4218d7-58d8-4481-be2a-1e2475ca3ebd",NA,NA,1,NA,"no",0
"558",558,"18/01/2019 18:10","18/01/2019 18:29",0,"82.10.102.174",100,1142,1,"18/01/2019 18:29","R_1q3QD7xwdqNRbhS",NA,NA,NA,NA,53.59170532,-2.391693115,"anonymous","EN","consent_academic,consent_teaching",6,"Skilled work/Office work",NA,"Female","1978","Europe","UK","White",NA,"1",1,NA,"5 years","diversity_culture,diversity_language,diversity_education",6,6,6,6,5,5,6,5,6,5,5,6,5,6,5,5,6,5,6,5,6,6,6,6,5,5,5,6,6,5,6,6,6,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,3,4,4,6,6,6,6,6,6,6,6,4,5,6,6,3,5,5,6,5,5,1,6,3,3,3,NA,4,NA,"Qual2514-0709Const2",1142,"anonymous",NA,"H","5c421674-0e08-40e6-ac94-85effc37cba8",NA,NA,1,NA,"no",0
"559",559,"18/01/2019 18:28","18/01/2019 18:33",0,"84.59.47.139",100,303,1,"18/01/2019 18:33","R_300kR4fxfuqQBa5",NA,NA,NA,NA,49.96789551,8.663406372,"anonymous","EN","consent_academic,consent_teaching",5,"Skilled work/Office work",NA,"Female","1971","Europe","Germany","White",NA,"2",1,NA,"more than 20 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,5,6,5,5,6,5,6,6,6,6,6,6,6,4,6,4,4,6,5,6,6,6,5,6,4,4,6,NA,5,6,5,6,5,6,6,6,5,6,6,5,NA,NA,"Qual2514-0709Const2",303,"anonymous",NA,"H","5c421ae1-e1fe-45b7-aa56-e0054d19cc33",NA,NA,1,NA,"no",1
"560",560,"18/01/2019 18:39","18/01/2019 18:48",0,"88.70.164.214",100,544,1,"18/01/2019 18:48","R_2pPFGutymI5wsi6",NA,NA,NA,NA,53.58859253,10.04829407,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Female","1984","Europe","Germany","White",NA,"2",1,"Egypt","2 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",6,6,4,6,5,3,2,5,5,5,6,5,4,6,5,5,4,4,4,5,6,6,6,6,5,4,5,4,4,4,6,6,4,4,6,5,4,6,6,4,3,5,3,4,6,6,6,6,6,6,3,6,4,5,6,6,6,6,6,6,6,5,4,2,6,3,5,5,6,5,5,6,6,1,1,4,1,3,NA,"Qual2514-0709Const2",544,"anonymous",NA,"H","5c421d58-afc2-415d-b912-9fe74e515929",NA,NA,1,NA,"no",0
"563",563,"18/01/2019 19:37","18/01/2019 19:40",0,"77.22.248.61",100,209,1,"18/01/2019 19:40","R_D2ZkBi8aYcIW1EZ",NA,NA,NA,NA,49.84309387,8.091705322,"anonymous","EN","consent_academic,consent_teaching",3,"Skilled work/Office work",NA,"Female","1983","Europe","Germany","White",NA,"2",2,"us","4 years","diversity_education",6,5,5,6,1,4,3,3,2,1,5,4,4,4,4,4,4,5,6,4,5,4,4,5,5,5,5,6,6,5,5,4,4,5,5,5,5,6,4,5,4,5,4,5,5,6,6,6,5,6,6,6,5,6,6,6,5,5,6,5,5,6,5,6,NA,NA,6,4,6,6,6,5,5,5,6,6,6,6,"nix","Qual2514-0709Const2",209,"anonymous",NA,"H","5c422ae2-9f43-4a0e-801b-55eb5ab7cf89",NA,NA,1,NA,"no",2
"564",564,"18/01/2019 19:54","18/01/2019 20:06",0,"95.90.197.52",100,722,1,"18/01/2019 20:06","R_6D5dqgl6VZseKUF",NA,NA,NA,NA,48.1499939,11.58329773,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Male","1979","Europe","Germany","White",NA,"2",0,NA,"6 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",5,5,3,6,4,4,4,2,5,3,5,4,4,3,6,3,5,4,3,4,5,5,6,6,3,5,4,5,6,4,6,6,4,3,6,6,5,5,5,5,4,6,4,5,5,6,5,3,5,5,5,4,5,6,4,4,5,5,6,4,4,4,3,3,5,5,4,4,2,2,4,2,5,4,4,4,3,4,NA,"Qual2514-0709Const2",722,"anonymous",NA,"H","5c422f00-b360-4f74-aaca-97b1b7575717",NA,NA,1,NA,"no",0
"565",565,"18/01/2019 19:56","18/01/2019 20:07",0,"88.152.112.23",100,660,1,"18/01/2019 20:07","R_BP54VUGshP8X7nH",NA,NA,NA,NA,50.22999573,8.613098145,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Female","1981","Europe","Germany","White",NA,"2",1,NA,"8 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation,diversity_experience",4,5,3,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,"Qual2514-0709Const2",660,"anonymous",NA,"H","5c422f84-3320-4ea4-a763-81bdc48d948e",NA,NA,1,NA,"no",0
"566",566,"18/01/2019 20:56","18/01/2019 21:10",0,"79.202.45.56",100,860,1,"18/01/2019 21:10","R_ReoqTNDM7BK4KQN",NA,NA,NA,NA,50.20730591,8.57749939,"anonymous","EN","consent_academic,consent_teaching",2,"Apprenticeship/Trainee/Junior employee",NA,"Male","1999","Europe","Germany","White",NA,"3",1,NA,"less than 1 year","diversity_education",5,4,4,4,4,5,4,4,5,4,4,4,3,4,6,5,2,4,5,3,5,3,4,4,4,4,3,4,4,4,4,4,3,5,4,5,3,5,4,4,5,5,6,4,5,4,5,4,2,3,5,6,5,4,4,3,3,4,5,5,6,4,4,3,5,5,5,6,4,4,3,4,5,4,5,6,5,3,NA,"Qual2514-0709Const2",860,"anonymous",NA,"H","5c423ce8-390e-47a1-af83-7d515dc849c7",NA,NA,1,NA,"no",0
"568",568,"18/01/2019 21:46","18/01/2019 21:51",0,"95.91.240.12",100,297,1,"18/01/2019 21:51","R_dgwoverTzQuXMk1",NA,NA,NA,NA,52.47639465,13.42199707,"anonymous","EN","consent_academic,consent_teaching",3,"Apprenticeship/Trainee/Junior employee",NA,"Female","1997","Europe","Germany","White",NA,"4",1,"None","1 year","diversity_language",5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,NA,4,4,4,4,4,3,4,5,4,4,4,NA,4,3,3,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,5,5,5,5,4,3,3,4,3,3,3,5,4,5,4,4,4,4,4,5,4,3,5,6,5,5,5,5,"Well, you mostly have to use a polite way of speaking to not make a bad impression. Speaking a language very well aand fluently & knowing how to pronounce specific words also leaves a good impression. That's all that comes to mind.","Qual2514-0709Const2",297,"anonymous",NA,"H","5c42491e-90e8-4912-befb-4e152061c497",NA,NA,1,NA,"no",2
"569",569,"18/01/2019 22:43","18/01/2019 22:49",0,"81.132.162.36",100,331,1,"18/01/2019 22:49","R_t0uPWyeEoWoRC93",NA,NA,NA,NA,52.81669617,-1.800003052,"anonymous","EN","consent_academic,consent_teaching",5,"Skilled work/Office work",NA,"Female","1980","Europe","UK","White",NA,"3",2,"UK, Latvia","less than 1 year","diversity_culture",6,5,4,6,5,6,5,2,4,2,5,5,6,5,6,3,3,2,5,4,5,5,6,5,4,2,4,4,3,2,5,5,2,6,5,4,4,3,5,2,5,5,3,3,5,5,5,6,6,3,2,5,5,4,6,4,5,6,5,6,5,6,4,5,5,4,6,5,5,5,4,3,5,4,2,4,2,4,NA,"Qual2514-0709Const2",331,"anonymous",NA,"H","5c4256a2-8f42-4005-9313-1d30b0188998",NA,NA,1,NA,"no",0
"573",573,"19/01/2019 04:00","19/01/2019 04:06",0,"5.147.49.108",100,396,1,"19/01/2019 04:06","R_2BlCtIkqUVGUKR6",NA,NA,NA,NA,51.38330078,8.083297729,"anonymous","EN","consent_academic,consent_teaching",4,"Skilled work/Office work",NA,"Male","1988","Europe","Germany","White",NA,"3",2,"Austria, Netherlands","6 years","diversity_culture,diversity_language,diversity_education,diversity_part_of_organisation",4,5,5,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,5,5,5,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,3,4,4,4,4,NA,"Qual2514-0709Const2",396,"anonymous",NA,"H","5c42a0c2-1e32-4f82-af52-720a5733d1e5",NA,NA,1,NA,"no",0
